Fecha;ETo(P.MON.);Precipit. efectiva(P.MON.);Horas insolacion;Veloc. viento diurna (*);Veloc. viento nocturna (*);Recorrido viento;Radiacion neta;Temp. media diurna;Hum. media diurna
dd/mm/aaaa;mm;mm;HH:mm;m/s;m/s;km/dia;MJ/m^2;ºC;%
05/12/2023;0.35;0.00;6.24;0.38;0.00;33.7;1.23;3.77;79.33;
06/12/2023;0.33;0.00;5.13;0.42;0.00;32.05;1.57;2.28;88.94;
07/12/2023;0.35;6.57;0.00;0.68;0.00;55.9;2.04;3.91;99.80;
08/12/2023;0.58;0.00;5.41;1.93;1.31;138.07;1.53;6.30;85.30;
09/12/2023;0.59;0.00;4.16;1.00;1.26;100.57;1.59;11.78;91.70;
10/12/2023;0.74;0.00;5.54;2.16;1.33;152.15;1.40;13.28;91.90;
11/12/2023;0.52;0.00;5.36;1.09;0.93;87.52;1.51;11.21;91.07;
12/12/2023;0.55;4.25;1.28;1.42;2.86;182.48;1.94;9.58;98.91;
13/12/2023;0.83;0.00;7.09;3.63;2.38;257.64;0.43;6.91;78.37;
14/12/2023;0.54;0.00;7.46;1.21;0.77;83.12;0.30;7.27;75.80;
15/12/2023;0.30;0.00;7.59;0.60;0.27;37.58;0.40;7.21;79.49;
16/12/2023;0.28;0.00;7.43;0.56;0.32;36.98;0.28;4.67;81.09;
17/12/2023;0.20;0.00;6.28;0.76;0.15;38.45;0.81;-0.41;95.37;
18/12/2023;0.23;0.00;7.34;0.64;0.27;38.45;0.36;1.64;87.73;
19/12/2023;0.24;0.00;5.07;0.44;0.30;32.23;1.63;-2.65;99.80;
20/12/2023;0.62;0.00;7.44;1.93;0.47;100.83;0.22;7.93;65.31;
21/12/2023;0.63;0.00;7.37;1.44;0.92;101.87;0.70;8.51;79.94;
22/12/2023;0.35;0.00;7.56;0.89;0.52;61.43;0.38;5.06;82.41;
23/12/2023;0.30;0.00;0.49;0.50;0.32;36.29;1.84;1.56;99.80;
24/12/2023;0.26;0.00;7.25;0.81;0.28;45.71;0.49;2.74;89.40;
25/12/2023;0.21;0.00;5.73;0.61;0.32;39.48;1.35;-1.41;99.74;
26/12/2023;0.26;0.00;4.23;0.45;0.34;33.96;1.75;-1.78;99.80;
27/12/2023;0.29;0.00;0.00;0.50;0.39;38.62;1.91;-1.46;99.80;
28/12/2023;0.36;0.00;0.00;0.42;0.34;32.66;2.06;2.38;99.80;
29/12/2023;0.38;0.00;1.37;0.39;0.12;21.08;1.86;6.13;99.80;
30/12/2023;0.39;0.00;0.53;0.56;1.11;69.72;1.93;5.50;99.80;
31/12/2023;0.64;0.00;6.12;2.74;2.57;231.21;1.19;5.29;86.43;
01/01/2024;0.49;0.00;6.37;1.04;0.70;76.2;0.70;5.69;73.57;
02/01/2024;0.40;0.00;4.88;4.36;0.84;218.51;1.63;7.87;98.43;
03/01/2024;0.56;0.00;5.57;2.47;0.42;123.47;1.65;8.26;83.08;
04/01/2024;0.34;1.08;4.68;0.83;0.78;67.39;1.80;4.07;99.11;
05/01/2024;0.44;0.00;7.40;3.01;1.57;194.92;1.25;3.61;91.54;
06/01/2024;0.58;0.00;7.79;2.21;1.23;149.47;0.84;4.59;81.67;
07/01/2024;0.42;0.00;7.59;0.86;0.48;56.68;0.52;3.80;71.63;
08/01/2024;0.30;0.00;5.57;0.57;0.28;35.86;1.58;0.88;90.89;
09/01/2024;0.36;0.00;1.66;0.52;0.26;32.66;1.96;2.03;97.71;
10/01/2024;0.34;0.00;0.00;0.50;0.63;48.3;2.01;3.34;99.81;
11/01/2024;0.45;0.00;5.49;0.86;0.69;66.87;1.71;1.56;84.94;
12/01/2024;0.40;0.00;7.35;1.08;0.39;60.74;1.34;2.07;80.89;
13/01/2024;0.44;0.03;4.26;0.58;0.10;28.86;1.82;4.29;85.55;
14/01/2024;0.41;3.94;1.55;0.29;0.09;15.9;2.04;5.68;99.80;
15/01/2024;0.44;0.00;4.26;0.48;0.15;27.04;2.01;9.57;99.77;
16/01/2024;0.39;2.39;0.79;1.57;1.33;126.14;2.06;8.24;99.80;
17/01/2024;0.53;0.03;3.77;5.17;4.33;408.76;2.05;9.07;95.22;
18/01/2024;1.06;0.00;7.10;3.04;3.55;287.11;1.89;8.76;83.62;
19/01/2024;0.71;0.00;7.31;1.38;0.86;96.42;1.62;4.65;74.85;
20/01/2024;0.55;0.00;7.80;0.92;0.24;48.82;1.00;2.52;62.00;
21/01/2024;0.40;0.00;7.75;0.79;0.12;38.19;1.74;2.63;82.62;
22/01/2024;0.48;0.00;3.50;0.60;0.09;28.68;2.12;5.83;90.94;
23/01/2024;0.44;0.00;3.22;0.48;0.14;26.01;2.18;6.80;99.80;
24/01/2024;0.49;0.00;6.22;0.65;0.25;38.71;2.25;5.99;98.13;
25/01/2024;0.54;0.00;7.35;0.81;0.26;44.84;2.28;6.60;94.03;
26/01/2024;0.67;0.00;8.05;0.47;0.36;35.34;2.01;8.77;74.21;
27/01/2024;0.84;0.00;7.71;0.54;0.59;48.99;2.00;10.91;66.39;
28/01/2024;0.70;0.00;6.55;0.86;0.28;49.25;2.33;9.00;83.99;
29/01/2024;0.62;0.00;6.42;0.51;0.29;34.21;2.38;8.76;87.01;
30/01/2024;0.72;0.00;7.66;0.64;0.37;43.37;2.47;9.21;78.47;
31/01/2024;0.90;0.00;8.23;0.66;0.49;48.21;2.26;11.20;66.94;
01/02/2024;0.95;0.00;8.04;0.57;0.44;44.06;2.15;11.58;58.61;
02/02/2024;0.84;0.00;8.40;0.69;0.31;42.68;2.54;10.11;70.06;
03/02/2024;0.95;0.00;8.58;0.73;0.51;52.7;2.58;10.55;60.58;
04/02/2024;0.92;0.00;8.63;0.62;0.46;45.1;2.65;10.40;65.84;
05/02/2024;0.87;0.00;7.68;0.73;0.48;51.49;2.89;9.37;74.86;
06/02/2024;0.98;0.00;8.11;1.10;0.25;56.68;2.92;9.82;69.67;
07/02/2024;0.65;0.00;4.17;0.84;0.96;75.;2.63;6.56;93.79;
08/02/2024;1.03;0.00;1.84;5.45;2.92;355.19;2.48;7.61;87.69;
09/02/2024;0.50;1.91;2.00;2.35;2.93;224.21;2.50;7.50;99.11;
10/02/2024;1.25;0.00;8.67;4.12;3.15;308.79;3.41;4.90;75.86;
11/02/2024;0.76;0.00;6.15;2.62;1.77;190.08;2.95;5.24;89.80;
12/02/2024;1.55;0.00;8.59;2.54;0.54;130.55;3.50;11.27;59.91;
13/02/2024;0.77;0.00;6.92;0.80;0.19;42.34;3.28;9.24;93.56;
14/02/2024;0.61;0.00;4.83;0.80;0.24;44.67;2.79;10.45;98.97;
15/02/2024;0.93;2.55;4.81;2.24;1.19;144.81;3.11;10.76;92.75;
16/02/2024;1.38;0.00;9.30;1.45;0.57;87.09;4.17;10.60;69.44;
17/02/2024;1.26;0.00;9.20;0.94;0.32;53.31;4.28;10.81;65.44;
18/02/2024;1.25;0.00;8.99;0.79;0.17;39.57;4.25;12.97;65.20;
19/02/2024;1.39;0.00;8.55;0.85;0.19;43.89;4.59;14.17;66.87;
20/02/2024;1.43;0.00;9.15;0.93;0.34;53.57;4.01;12.05;47.08;
21/02/2024;0.88;0.00;5.81;0.76;0.61;57.89;3.26;8.60;79.51;
22/02/2024;1.41;0.00;8.04;6.08;1.17;304.82;4.29;8.85;82.84;
23/02/2024;1.53;0.00;9.50;5.24;2.92;342.06;5.13;4.64;78.38;
24/02/2024;1.26;0.00;9.16;5.00;2.24;311.13;5.08;5.32;77.35;
25/02/2024;1.49;3.03;3.22;4.68;3.41;346.38;3.19;10.29;83.88;
26/02/2024;1.20;4.25;9.63;5.44;4.97;441.76;4.17;3.33;88.14;
27/02/2024;1.77;0.00;9.66;4.08;2.42;280.37;5.83;6.40;58.67;
28/02/2024;2.05;0.00;9.67;2.87;2.39;229.56;5.67;9.74;62.30;
29/02/2024;1.47;0.00;9.73;5.19;2.13;307.15;5.42;6.03;81.26;
01/03/2024;0.92;0.00;7.38;3.27;2.05;229.82;3.51;6.42;87.50;
02/03/2024;0.90;7.42;5.19;4.74;4.54;396.4;3.94;3.38;93.17;
03/03/2024;1.19;0.00;9.03;4.34;1.46;252.12;5.45;4.31;85.01;
04/03/2024;1.82;0.00;7.55;3.99;1.59;235.96;5.33;7.74;74.49;
05/03/2024;1.90;0.00;9.94;2.74;1.40;175.22;6.79;7.58;62.76;
06/03/2024;1.73;0.00;9.16;1.85;0.83;114.13;6.48;7.71;66.64;
07/03/2024;1.13;1.25;5.88;3.04;1.81;204.85;3.85;5.60;87.94;
08/03/2024;1.19;7.80;5.97;3.35;2.36;249.09;4.16;4.53;86.19;
09/03/2024;1.41;0.00;8.67;4.18;2.52;286.07;5.95;4.32;77.72;
10/03/2024;1.58;0.00;9.09;5.68;2.91;368.67;7.07;7.12;76.25;
11/03/2024;1.88;0.00;10.00;4.25;1.80;256.;6.55;8.16;68.46;
12/03/2024;2.04;0.00;10.01;0.96;0.86;79.49;7.69;10.16;59.51;
13/03/2024;2.46;0.00;10.46;1.44;1.02;105.67;7.98;13.40;49.59;
14/03/2024;2.28;0.00;9.80;4.02;1.79;246.93;7.32;12.23;72.24;
15/03/2024;2.22;0.00;9.14;1.32;1.14;106.62;7.21;13.72;67.17;
16/03/2024;1.75;0.00;9.56;2.65;0.90;152.93;6.20;12.38;81.19;
17/03/2024;1.93;0.00;8.91;1.73;0.90;113.79;6.30;14.24;79.96;
18/03/2024;2.57;0.00;9.92;1.71;0.73;104.63;8.32;16.08;69.72;
19/03/2024;2.65;0.00;10.09;1.80;0.92;114.31;8.27;17.05;65.02;
20/03/2024;2.84;0.00;10.75;2.10;1.28;141.87;8.71;16.74;64.73;
21/03/2024;3.52;0.00;10.24;2.97;2.30;225.68;7.73;17.82;57.37;
22/03/2024;3.59;0.00;10.31;1.22;1.47;115.08;8.84;21.04;40.49;
23/03/2024;3.08;0.00;10.58;1.30;1.01;100.48;9.55;16.10;54.16;
24/03/2024;2.81;0.00;10.86;1.56;0.50;87.44;9.41;13.53;47.11;
25/03/2024;2.65;0.00;9.65;4.23;2.15;270.35;8.41;10.17;61.97;
26/03/2024;1.68;0.00;8.56;4.01;1.74;249.87;6.63;4.32;71.10;
27/03/2024;1.81;0.00;8.78;6.82;2.66;405.91;6.36;7.60;80.96;
28/03/2024;1.00;4.40;9.11;5.28;3.92;393.81;4.93;6.38;97.41;
29/03/2024;1.81;0.00;9.61;2.22;2.18;189.82;7.29;6.49;80.98;
30/03/2024;1.24;9.74;7.75;3.57;2.26;250.73;6.35;5.85;95.18;
31/03/2024;1.87;2.24;9.86;2.80;2.06;205.63;7.64;6.68;80.86;
01/04/2024;2.10;0.00;11.27;5.09;3.08;351.22;8.12;7.63;73.55;
02/04/2024;0.70;0.00;1.84;3.28;1.66;214.1;3.33;7.13;97.87;
03/04/2024;2.35;0.00;10.32;4.66;1.82;272.51;9.00;12.36;77.48;
04/04/2024;2.46;0.00;10.89;2.76;1.38;177.38;8.39;13.67;69.85;
05/04/2024;3.50;0.00;10.42;3.42;1.23;198.81;7.69;16.75;48.03;
06/04/2024;2.30;0.00;9.03;4.32;1.44;247.36;5.80;14.20;73.19;
07/04/2024;2.56;3.66;8.59;2.26;1.16;143.42;8.71;13.15;75.10;
08/04/2024;1.81;0.00;9.01;5.35;3.01;358.99;8.04;7.74;88.62;
09/04/2024;3.25;0.00;11.59;2.50;1.53;174.53;12.31;10.73;54.25;
10/04/2024;3.20;0.00;11.59;1.13;0.79;83.38;11.85;14.97;55.45;
11/04/2024;3.80;0.00;11.55;1.46;0.55;85.36;12.44;19.16;54.47;
12/04/2024;4.66;0.00;11.68;1.43;1.09;108.6;12.07;23.65;40.09;
13/04/2024;4.33;0.00;11.81;1.00;1.06;87.78;12.08;24.09;34.05;
14/04/2024;4.41;0.00;11.48;1.50;1.31;120.27;12.49;23.39;43.14;
15/04/2024;4.70;0.00;11.71;2.23;1.28;153.53;12.69;21.05;35.59;
16/04/2024;3.69;0.00;10.89;1.85;1.42;140.49;11.15;16.13;55.76;
17/04/2024;3.49;0.00;11.65;1.34;0.81;92.79;13.42;13.92;56.20;
18/04/2024;3.48;0.00;12.11;1.90;0.80;115.86;13.34;13.51;57.54;
19/04/2024;4.10;0.00;12.15;1.15;1.18;100.57;13.02;16.80;29.80;
20/04/2024;4.52;0.00;12.20;2.43;1.32;159.58;13.29;18.59;28.75;
21/04/2024;4.05;0.00;12.17;1.67;0.65;102.12;13.18;16.12;35.74;
22/04/2024;3.73;0.00;12.25;2.14;0.96;134.09;13.61;12.69;42.53;
23/04/2024;3.61;0.00;12.24;4.17;1.37;239.76;13.26;11.73;49.14;
24/04/2024;3.54;0.00;11.94;1.97;1.05;133.23;12.91;12.58;49.33;
25/04/2024;3.20;0.00;11.51;4.02;1.45;234.4;10.96;12.24;52.21;
26/04/2024;3.11;1.42;9.85;3.36;1.55;213.32;10.16;11.09;60.67;
27/04/2024;2.22;0.56;11.39;3.86;3.49;313.03;9.52;7.70;81.90;
28/04/2024;2.73;0.00;11.43;2.23;1.17;148.;10.53;9.64;61.60;
29/04/2024;3.65;0.00;11.85;1.45;1.59;127.87;13.28;13.28;43.67;
30/04/2024;2.37;0.03;11.12;3.62;1.78;233.54;8.36;11.08;77.66;
01/05/2024;3.21;0.00;10.97;4.84;1.91;287.71;13.19;8.56;65.00;
02/05/2024;2.53;0.00;10.13;2.94;1.26;182.39;10.12;9.30;66.07;
03/05/2024;2.45;0.00;11.85;5.79;3.37;394.42;10.32;10.92;75.86;
04/05/2024;3.15;0.00;10.92;7.32;4.89;528.77;8.95;14.09;73.65;
05/05/2024;1.34;10.27;5.79;3.11;3.97;309.92;5.70;11.37;97.59;
06/05/2024;3.90;0.00;12.81;3.85;2.01;254.1;15.04;13.08;60.35;
07/05/2024;4.30;0.00;12.65;1.95;1.74;157.94;15.42;15.95;45.94;
08/05/2024;4.53;0.00;12.44;1.48;0.89;100.22;14.78;17.44;45.66;
09/05/2024;4.70;0.00;12.20;1.54;1.26;119.92;13.15;20.98;28.44;
10/05/2024;5.35;0.00;12.97;1.86;1.47;140.49;15.09;22.85;30.94;
11/05/2024;4.33;0.00;12.28;3.41;1.89;225.07;11.10;19.18;52.36;
12/05/2024;4.86;0.00;12.17;2.85;2.39;228.53;12.67;20.34;41.09;
13/05/2024;2.67;4.86;8.17;3.05;2.24;228.96;7.55;14.47;81.39;
14/05/2024;3.38;0.00;13.14;5.55;2.65;355.02;13.18;11.72;70.10;
15/05/2024;3.65;0.00;12.34;4.87;2.69;326.07;12.74;10.96;60.06;
16/05/2024;2.41;2.56;11.14;2.67;1.82;196.13;8.89;10.69;71.83;
17/05/2024;3.83;0.00;12.99;5.01;2.03;302.4;14.77;12.96;68.09;
18/05/2024;1.77;3.34;9.28;1.78;0.94;118.45;7.49;10.47;91.20;
19/05/2024;4.06;0.00;10.58;3.21;1.73;215.31;14.87;13.73;60.96;
20/05/2024;3.14;3.35;10.91;1.96;1.32;145.5;11.32;13.21;73.56;
21/05/2024;3.37;0.00;12.56;4.33;2.68;304.91;12.38;13.54;68.47;
22/05/2024;3.56;0.00;12.44;4.09;1.45;240.88;13.04;13.60;62.80;
23/05/2024;4.50;0.00;13.17;1.81;2.64;194.75;16.53;14.92;47.20;
24/05/2024;4.98;0.00;13.12;1.95;1.23;140.14;16.72;18.33;47.37;
25/05/2024;5.69;0.00;12.88;2.75;2.33;222.57;15.99;21.24;41.30;
26/05/2024;4.48;0.00;12.63;2.36;2.07;194.4;13.33;19.48;49.11;
27/05/2024;5.11;0.00;13.25;1.70;1.85;156.38;16.16;19.00;43.95;
28/05/2024;5.47;0.00;13.13;1.41;1.14;110.94;16.48;22.56;41.90;
29/05/2024;6.67;0.00;13.29;2.54;1.94;196.91;16.37;25.47;35.23;
30/05/2024;5.43;0.00;13.47;3.29;1.92;225.33;14.22;24.09;49.78;
31/05/2024;5.38;0.00;13.36;2.21;1.74;171.85;16.87;18.76;42.20;
01/06/2024;5.33;0.00;13.38;3.00;1.72;205.98;16.75;18.30;40.57;
02/06/2024;5.39;0.00;13.43;3.98;1.69;244.6;17.09;19.26;42.40;
03/06/2024;5.75;0.00;13.42;1.62;2.04;159.24;16.94;21.12;40.74;
04/06/2024;5.84;0.00;12.95;1.97;1.40;146.1;16.75;24.13;38.45;
05/06/2024;5.61;0.00;12.86;2.66;1.38;172.02;14.53;25.46;38.46;
06/06/2024;6.00;0.00;12.87;2.79;1.03;162.43;15.48;26.31;37.59;
07/06/2024;6.00;6.79;9.04;3.35;2.28;247.02;11.88;24.14;53.53;
08/06/2024;3.40;14.19;9.49;2.62;2.68;231.9;9.36;19.28;79.21;
09/06/2024;3.26;0.00;10.83;1.77;2.29;178.68;11.27;18.01;75.54;
10/06/2024;5.03;0.00;12.50;1.36;1.93;146.02;17.00;18.30;53.36;
11/06/2024;4.72;0.00;12.88;1.69;1.61;145.24;16.61;16.90;58.97;
12/06/2024;4.38;0.00;12.95;1.61;2.04;156.73;14.40;16.90;49.12;
13/06/2024;4.81;0.00;12.26;2.26;1.90;178.85;14.98;19.41;49.33;
14/06/2024;4.61;0.00;12.75;4.31;2.28;282.1;13.09;20.17;58.83;
15/06/2024;5.51;0.00;13.58;4.24;4.03;356.31;17.50;17.32;48.39;
16/06/2024;4.46;0.00;12.44;3.02;2.50;241.83;13.96;18.75;59.00;
17/06/2024;4.11;0.00;12.40;3.39;1.62;216.26;12.73;19.39;61.83;
18/06/2024;2.53;11.87;9.56;2.64;1.39;171.76;9.82;15.46;88.42;
19/06/2024;4.40;0.00;12.58;1.67;1.35;130.03;15.63;17.11;67.31;
20/06/2024;3.97;0.00;13.42;3.37;1.62;213.24;14.25;16.89;69.18;
21/06/2024;5.49;0.00;13.59;2.01;2.34;188.52;17.33;20.10;55.47;
22/06/2024;4.15;0.00;11.55;2.63;2.47;223.34;12.02;19.46;57.89;
23/06/2024;5.54;0.00;13.41;1.50;1.61;138.59;17.15;23.82;54.27;
24/06/2024;5.31;0.00;13.14;1.30;0.77;90.37;16.74;23.06;62.39;
25/06/2024;6.04;0.00;13.35;2.26;1.12;152.24;17.05;26.78;46.31;
26/06/2024;5.50;0.00;11.67;1.55;1.60;137.29;14.95;26.29;51.18;
27/06/2024;5.71;1.09;12.25;1.79;1.20;129.34;16.26;26.97;50.95;
28/06/2024;5.33;0.00;11.60;1.54;1.08;114.65;15.88;25.01;57.03;
29/06/2024;1.83;0.00;9.16;2.03;1.46;152.67;6.22;17.39;91.71;
30/06/2024;3.98;0.00;11.09;1.31;1.19;109.3;12.43;19.95;63.00;
01/07/2024;5.30;0.00;12.99;1.56;1.02;112.58;16.70;22.78;42.78;
02/07/2024;5.02;0.00;12.94;1.08;0.51;68.26;16.50;22.74;57.17;
03/07/2024;5.69;0.00;13.40;1.58;0.74;100.66;16.70;25.01;43.09;
04/07/2024;5.47;0.00;13.46;1.01;0.60;68.;16.64;26.10;44.20;
05/07/2024;5.98;0.00;13.40;1.75;1.26;129.69;16.13;28.45;44.94;
06/07/2024;5.08;0.00;13.29;1.99;2.02;173.66;15.20;21.16;51.00;
07/07/2024;4.91;0.00;13.32;1.39;0.82;95.9;16.41;20.06;55.17;
08/07/2024;5.24;0.00;12.80;2.60;0.58;135.39;15.99;23.12;50.05;
09/07/2024;2.17;0.03;11.42;1.56;0.73;95.56;7.45;18.01;87.10;
10/07/2024;4.14;0.00;11.85;1.89;0.20;90.2;13.62;22.81;73.68;
11/07/2024;4.76;0.00;13.42;1.96;0.87;121.56;14.73;23.01;57.96;
12/07/2024;5.26;0.00;12.85;0.94;0.91;80.7;16.88;22.07;51.00;
13/07/2024;4.64;0.00;12.71;1.11;0.48;69.47;15.26;21.65;57.99;
14/07/2024;4.99;0.00;12.16;1.56;0.81;103.51;14.77;22.84;50.66;
15/07/2024;4.37;0.56;12.63;2.06;1.49;154.05;14.28;20.63;63.76;
16/07/2024;4.87;0.00;13.14;0.88;0.82;74.22;15.92;20.98;50.55;
17/07/2024;4.92;0.00;12.87;1.01;0.44;61.78;15.86;24.20;54.74;
18/07/2024;5.26;0.00;13.04;1.20;0.68;78.88;15.82;26.90;48.18;
19/07/2024;5.58;0.00;13.00;0.80;0.71;66.36;16.14;27.57;50.64;
20/07/2024;4.92;0.00;13.06;2.73;1.86;197.34;15.24;23.21;62.88;
21/07/2024;4.87;0.00;13.12;0.93;0.71;71.63;15.89;21.85;44.83;
22/07/2024;5.04;0.00;13.04;0.88;0.32;50.89;16.19;24.25;56.77;
23/07/2024;5.28;0.00;12.97;0.68;0.51;51.24;16.01;28.35;51.04;
24/07/2024;5.29;0.00;12.88;0.55;0.31;38.45;16.08;29.34;49.61;
25/07/2024;5.33;0.00;12.92;0.61;0.44;46.57;15.75;29.18;42.62;
26/07/2024;5.30;0.00;12.79;0.82;0.84;69.47;15.57;27.85;44.25;
27/07/2024;5.20;0.00;12.77;0.72;0.37;46.48;16.20;27.02;57.28;
28/07/2024;5.24;0.00;12.64;1.09;0.24;56.33;15.70;28.75;52.27;
29/07/2024;4.38;0.00;11.68;1.24;0.38;71.28;12.78;27.85;52.91;
30/07/2024;5.12;3.21;12.48;0.96;0.74;70.59;15.99;26.94;60.98;
31/07/2024;5.01;0.00;12.57;0.81;0.38;50.54;15.61;27.64;57.60;
01/08/2024;4.85;0.00;10.91;0.74;0.32;47.35;14.69;26.79;55.68;
02/08/2024;4.91;0.00;12.62;1.17;0.46;70.24;15.64;24.67;69.07;
03/08/2024;4.78;0.00;12.64;0.81;0.34;49.85;15.57;24.79;60.22;
04/08/2024;4.97;0.00;12.59;0.66;0.30;41.56;15.36;26.77;49.68;
05/08/2024;5.14;0.00;12.58;0.85;0.58;62.38;15.29;27.38;45.80;
06/08/2024;4.27;0.00;12.57;0.62;0.50;47.61;13.49;25.43;53.87;
07/08/2024;4.67;0.00;12.38;0.72;0.28;42.16;14.92;25.50;60.22;
08/08/2024;4.85;0.00;12.12;0.84;0.32;48.56;15.04;27.70;56.32;
09/08/2024;4.79;0.00;12.32;0.56;0.21;33.61;14.70;29.51;50.65;
10/08/2024;4.92;0.00;11.64;0.67;0.42;45.01;14.14;30.36;50.16;
11/08/2024;4.95;0.00;12.17;0.83;0.58;59.1;14.35;29.31;46.06;
12/08/2024;4.94;0.00;12.20;1.33;0.43;78.28;14.33;27.01;51.57;
13/08/2024;2.36;0.00;11.76;1.04;0.49;64.11;7.73;19.41;80.25;
14/08/2024;4.43;0.00;12.45;1.20;0.41;70.16;13.61;22.48;48.20;
15/08/2024;4.30;0.00;12.31;0.98;0.17;48.73;14.15;21.94;54.20;
16/08/2024;4.48;0.00;12.24;0.98;0.37;57.11;13.92;25.39;48.33;
17/08/2024;4.39;0.00;12.08;1.62;0.48;90.72;13.16;25.49;55.21;
18/08/2024;4.51;0.00;11.75;1.05;0.67;74.74;14.01;24.80;56.20;
19/08/2024;4.03;0.00;11.74;0.88;0.05;39.4;13.55;23.36;66.55;
20/08/2024;4.38;0.00;11.93;1.00;0.48;63.59;13.28;25.22;52.34;
21/08/2024;4.06;0.00;11.89;0.83;0.17;42.16;13.52;23.96;60.54;
22/08/2024;4.58;0.00;11.85;0.91;0.69;69.55;13.05;26.67;50.36;
23/08/2024;4.17;0.00;11.89;0.77;0.43;51.41;12.95;24.73;49.91;
24/08/2024;3.72;0.00;11.86;2.05;0.29;99.01;11.91;23.03;63.61;
25/08/2024;3.80;0.00;11.89;0.89;0.34;53.74;13.02;21.50;56.32;
26/08/2024;3.63;0.00;11.63;0.83;0.19;42.42;12.41;21.24;57.51;
27/08/2024;4.11;0.00;11.55;1.06;0.48;66.01;12.46;25.08;48.57;
28/08/2024;4.02;0.00;11.51;0.68;0.44;48.12;12.30;25.18;50.78;
29/08/2024;3.24;8.29;9.27;1.32;0.39;72.92;10.23;21.68;75.73;
30/08/2024;3.56;0.00;10.65;0.80;0.42;52.88;11.48;23.34;68.83;
31/08/2024;2.40;0.00;10.75;0.83;0.28;48.3;7.60;21.88;75.92;
01/09/2024;3.57;0.00;11.49;0.70;0.27;41.39;11.94;22.86;68.53;
02/09/2024;3.21;10.32;10.59;1.17;0.72;80.78;9.72;20.83;79.81;
03/09/2024;2.86;0.00;10.03;1.05;0.71;76.98;9.35;19.90;68.50;
04/09/2024;3.46;0.00;10.61;1.54;0.36;82.43;11.23;19.24;53.38;
05/09/2024;2.00;0.00;8.28;0.97;0.65;68.95;7.04;14.23;74.06;
06/09/2024;1.81;0.00;9.98;1.12;0.56;74.04;6.52;12.41;76.15;
07/09/2024;2.30;0.00;9.05;1.06;0.41;64.2;7.81;15.38;73.47;
08/09/2024;3.23;0.00;11.14;1.31;0.27;67.13;10.72;18.56;51.39;
09/09/2024;3.12;0.00;11.26;0.78;0.27;44.58;10.92;19.33;62.85;
10/09/2024;3.07;0.00;11.15;0.76;0.21;41.21;10.45;20.26;67.95;
11/09/2024;2.93;0.00;10.74;1.40;0.66;85.8;9.08;18.94;60.41;
12/09/2024;2.81;0.00;9.80;2.08;1.00;132.28;8.74;18.59;67.50;
13/09/2024;2.75;0.00;10.86;1.26;0.43;74.65;9.74;15.81;55.79;
14/09/2024;2.86;0.00;11.16;0.74;0.30;44.67;9.58;17.74;45.00;
15/09/2024;3.04;0.00;11.06;0.66;0.46;47.43;9.13;21.63;37.26;
16/09/2024;3.11;0.00;11.02;0.92;0.37;55.3;8.94;22.18;33.41;
17/09/2024;3.02;0.00;10.94;1.91;0.19;89.77;9.42;18.08;49.74;
18/09/2024;2.79;0.00;10.84;0.93;0.39;56.76;9.40;18.75;58.76;
19/09/2024;2.60;0.00;9.77;0.98;0.51;64.2;8.50;18.75;68.98;
20/09/2024;1.52;1.25;9.07;0.76;0.42;49.85;5.60;16.57;82.76;
21/09/2024;1.50;0.00;8.68;0.98;0.00;52.88;5.61;15.45;90.20;
22/09/2024;2.59;0.00;10.67;1.87;0.00;94.;8.24;17.14;62.76;
23/09/2024;2.75;0.00;10.38;1.61;0.73;99.96;8.38;15.89;56.57;
24/09/2024;1.41;0.00;8.09;0.67;0.00;47.26;5.27;14.38;86.48;
25/09/2024;2.04;0.00;7.85;4.18;0.00;250.56;6.40;18.05;88.41;
26/09/2024;3.23;14.31;8.59;3.75;0.00;305.51;7.19;17.26;68.38;
27/09/2024;2.40;0.00;9.83;2.70;0.00;177.12;7.90;12.37;64.78;
28/09/2024;2.01;0.00;10.22;0.78;0.30;47.43;7.81;12.64;64.44;
29/09/2024;2.27;0.00;10.30;0.80;0.30;44.58;7.61;17.34;55.86;
30/09/2024;2.41;0.00;9.77;0.76;0.00;51.93;7.81;20.21;70.72;
01/10/2024;1.93;0.00;8.25;1.67;0.00;98.15;6.17;19.01;83.36;
02/10/2024;0.99;4.25;5.51;2.38;0.59;127.27;3.67;16.89;99.01;
03/10/2024;1.79;0.00;9.82;1.11;0.59;64.2;6.46;16.26;86.97;
04/10/2024;1.82;0.00;9.59;0.86;0.00;41.13;6.61;16.60;77.60;
05/10/2024;1.25;0.00;8.82;2.59;0.00;144.98;4.57;17.11;92.24;
06/10/2024;0.86;1.74;2.96;2.10;0.00;158.11;3.13;14.86;98.57;
07/10/2024;1.41;0.00;7.75;2.02;0.00;138.41;4.64;14.44;86.71;
08/10/2024;1.16;0.00;7.02;3.38;2.16;236.13;4.04;13.46;93.35;
09/10/2024;1.79;11.33;7.82;5.68;2.79;369.71;5.58;15.91;90.11;
10/10/2024;1.84;0.00;8.44;1.79;2.79;102.64;5.46;12.99;70.87;
11/10/2024;0.96;0.00;5.24;1.11;0.00;70.85;3.50;12.45;89.26;
12/10/2024;1.03;10.92;6.94;0.71;0.00;71.11;3.79;15.27;97.38;
13/10/2024;1.79;0.00;9.07;1.23;0.00;69.72;5.97;18.02;81.45;
